Start Date,End Date,Time,Location,Target,Weapons,Reported_Minimum,Reported_Maximum
6-Aug-13,6-Aug-13,8.00 pm to 9.00 pm,"Umm al-Maalif, west Baghdad",civilians,car bomb,1,1
6-Aug-13,6-Aug-13,8.00 pm to 9.00 pm,"near Hurriya Square, Karrada, central Baghdad","civilians; Adel Ibrahim, 41 year-old engineer, among those killed",car bomb,5,5
6-Aug-13,6-Aug-13,PM,"Sadr City, east Baghdad",traffic policeman,pistol-fire,1,1
5-Aug-13,5-Aug-13,,"Maqdadiyah, 40 km northeast of Baquba",Sahwa member and one of his relatives,drive-by shooting,2,2
5-Aug-13,5-Aug-13,,Abu Saiyda 30 km east of Baquba,civilians in their car,gunfire,2,2
5-Aug-13,5-Aug-13,AM,east Mosul,male contractor in shop,gunfire,1,1
5-Aug-13,5-Aug-13,AM,"Al-Jarrh, southeast of Baghdad",male civilian,gunfire,1,1
5-Aug-13,5-Aug-13,AM,"Jaara, Madain, southeast of Baghdad",generator owner and his son,automatic weapons,2,2
5-Aug-13,5-Aug-13,,downtown Hilla,young men,drive-by shooting,2,2
5-Aug-13,5-Aug-13,,"Muharin, east Mosul","army checkpoint or headquarters, civilian killed",car bomb,1,1
5-Aug-13,5-Aug-13,,"Mohandiseen, 5 km northeast of Baquba","security patrol, policeman killed",roadside bomb,1,1
5-Aug-13,5-Aug-13,AM,"Albu Yusuf, 10 km south of Mosul",civilian in his home,gunfire,1,1
5-Aug-13,5-Aug-13,PM,"Jolan, north of Falluja",policeman,gunfire,1,1
3-Aug-13,5-Aug-13,,"found in Alexandria, 50 km north of Hilla","body found of Moussa Jaafar al-Janabi, Sahwa leader kidnapped two days previously from a taxi in Alheiafah","gunfire, tortured",1,1
5-Aug-13,5-Aug-13,PM,"Habibiya, east Baghdad",policeman,gunfire,1,1
5-Aug-13,5-Aug-13,9.00 pm,"Qala, central Tall Afar",civilians in outdoor market,car bomb,2,4
5-Aug-13,5-Aug-13,PM,"al-Arabi, north Mosul",barber in his shop,gunfire,1,1
5-Aug-13,5-Aug-13,PM,"Kamaliyah, east Baghdad",customers lining up to buy bread in a bakery,bomb,1,4
4-Aug-13,4-Aug-13,PM,west Baghdad,cafe,bomb,3,3
4-Aug-13,4-Aug-13,PM,"Ta'meem, east Mosul",male civilian standing in queue in fuel station,gunfire,1,1
4-Aug-13,4-Aug-13,AM,"Riyadh, west of Kirkuk",man in his home,gunfire,1,1
4-Aug-13,4-Aug-13,12.00 pm,"Kharenabat, northeast of Abu Ghraib","family home, elderly man among those killed",two mortar rounds,2,2
4-Aug-13,4-Aug-13,AM,"Aljughafi, central Falluja",policeman outside his home,gunfire,1,1
4-Aug-13,4-Aug-13,AM,"40 Street, Dour al-Khusat, central Tikrit","Appeals Court judge Sajid Abdul Abbas al-Azzawi, as he was leaving his home",car bomb,1,1
4-Aug-13,4-Aug-13,PM,"Hamam al-Alil, south of Mosul",bomb disposal expert as he was trying to defuse a bomb,roadside bomb,1,1
4-Aug-13,4-Aug-13,PM,"in front of Muhannad market, Nasir, east Kirkuk",gathering of people,drive-by shooting,3,3
4-Aug-13,4-Aug-13,12.00 pm,"central Tunisia, Iskandariya, north of Hilla",civilians in petrol station,car bomb,1,1
